name,type,lon,lat
Tuas West Road,MRT,103.63958260086913,1.3300300653490948
Ubi,MRT,103.89922439973428,1.3299561414038574
Upper Changi,MRT,103.96148221638802,1.3418918688273054
Upper Thomson,MRT,103.8328198817694,1.354604169360922
Woodlands,MRT,103.78787818016039,1.435873006933356
Woodlands North,MRT,103.78570877074168,1.4483705246116825
Woodlands South,MRT,103.7937559101633,1.4267461031852122
Woodleigh,MRT,103.87075512376015,1.3391997571086178
Yew Tee,MRT,103.74740882918255,1.3975510527392732
Yio Chu Kang,MRT,103.84472138695241,1.3816203396813416
Yishun,MRT,103.8349678476394,1.4295167738283998
